"login_year_month","user_type","mau","mau_not_unique","d1_ret","d7_ret","d14_ret","d30_ret"
"2022-05",신규유저,497,497,0.344,0.171,0.175,0.135
"2022-05",재방문유저,3472,36597,0.637,0.644,0.621,0.534
"2022-05",전체,3694,37094,0.633,0.637,0.615,0.528
"2022-06",신규유저,1055,1055,0.329,0.193,0.152,0.113
"2022-06",재방문유저,3939,36500,0.605,0.581,0.545,0.490
"2022-06",전체,4404,37555,0.598,0.570,0.534,0.480
"2022-07",신규유저,1058,1058,0.378,0.226,0.190,0.148
"2022-07",재방문유저,4265,39630,0.591,0.597,0.563,0.477
"2022-07",전체,4647,40688,0.585,0.587,0.553,0.468
"2022-08",신규유저,701,701,0.389,0.247,0.178,0.128
"2022-08",재방문유저,4098,39708,0.619,0.566,0.491,0.415
"2022-08",전체,4375,40409,0.615,0.560,0.485,0.410
"2022-09",신규유저,610,610,0.316,0.170,0.161,0.138
"2022-09",재방문유저,3706,30609,0.540,0.553,0.566,0.505
"2022-09",전체,3971,31219,0.536,0.546,0.558,0.498
"2022-10",신규유저,808,808,0.286,0.167,0.125,0.099
"2022-10",재방문유저,3687,35206,0.604,0.622,0.617,0.540
"2022-10",전체,4095,36014,0.597,0.612,0.606,0.530
"2022-11",신규유저,2890,2890,0.694,0.530,0.530,0.000
"2022-11",재방문유저,5996,62242,0.676,0.614,0.556,0.000
"2022-11",전체,6352,65132,0.677,0.609,0.554,0.000
